time,price,bid,ask
2016-04-12 12:24:59.092071,109.83,109.74,109.73
2016-04-12 12:25:00.345555,109.81,109.74,109.73
2016-04-12 12:25:01.647421,109.81,109.74,109.73
2016-04-12 12:25:02.616466,109.81,109.74,109.73
2016-04-12 12:25:03.148969,109.81,109.74,109.73
2016-04-12 12:25:03.665343,109.81,109.74,109.73
2016-04-12 12:25:04.180944,109.81,109.74,109.73
2016-04-12 12:25:04.810763,109.81,109.74,109.73
2016-04-12 12:25:05.406244,109.81,109.74,109.73
2016-04-12 12:25:05.923972,109.81,109.74,109.73
2016-04-12 12:25:06.435886,109.81,109.74,109.73
2016-04-12 12:25:06.944504,109.81,109.74,109.73
2016-04-12 12:25:07.559950,109.81,109.74,109.73
2016-04-12 12:25:08.069946,109.81,109.74,109.73
2016-04-12 12:25:08.683261,109.81,109.74,109.73
2016-04-12 12:25:09.195475,109.81,109.74,109.73
2016-04-12 12:25:09.705543,109.81,109.74,109.73
2016-04-12 12:25:10.219138,109.815,109.74,109.73
2016-04-12 12:25:10.831779,109.815,109.74,109.73
2016-04-12 12:25:11.313378,109.815,109.74,109.73
2016-04-12 12:25:11.471240,109.815,109.74,109.73
2016-04-12 12:25:11.638490,109.82,109.74,109.73
2016-04-12 12:25:11.813501,109.82,109.74,109.73
2016-04-12 12:25:11.974256,109.82,109.74,109.73
2016-04-12 12:25:12.135141,109.8,109.74,109.73
2016-04-12 12:25:12.288337,109.8,109.74,109.73
2016-04-12 12:25:12.444190,109.8,109.74,109.73
2016-04-12 12:25:12.617370,109.8,109.74,109.73
2016-04-12 12:25:12.781988,109.8,109.74,109.73
2016-04-12 12:25:12.932156,109.8,109.74,109.73
2016-04-12 12:25:13.097228,109.8,109.74,109.73
2016-04-12 12:25:13.249188,109.8,109.74,109.73
2016-04-12 12:25:13.404289,109.8,109.74,109.73
2016-04-12 12:25:13.573662,109.8,109.74,109.73
2016-04-12 12:25:13.738416,109.8,109.74,109.73
