time,price,bid,ask
2016-04-12 10:49:41.933165,78.86,78.8,78.74
2016-04-12 10:49:42.083546,78.86,78.8,78.74
2016-04-12 10:49:42.234083,78.86,78.8,78.74
2016-04-12 10:49:42.388451,78.86,78.8,78.74
2016-04-12 10:49:42.606982,78.86,78.8,78.74
2016-04-12 10:49:42.775074,78.86,78.8,78.74
2016-04-12 10:49:42.934531,78.86,78.8,78.74
2016-04-12 10:49:43.082671,78.86,78.8,78.74
2016-04-12 10:49:43.258072,78.86,78.8,78.74
2016-04-12 10:49:43.411211,78.86,78.8,78.74
2016-04-12 10:49:43.563798,78.86,78.8,78.74
2016-04-12 10:49:43.728774,78.86,78.8,78.74
2016-04-12 10:49:43.881042,78.86,78.8,78.74
2016-04-12 10:49:44.040456,78.86,78.8,78.74
2016-04-12 10:49:44.194736,78.86,78.8,78.74
2016-04-12 10:49:44.345422,78.86,78.8,78.74
2016-04-12 10:49:44.490738,78.86,78.8,78.74
2016-04-12 10:49:44.634066,78.86,78.8,78.74
2016-04-12 10:49:44.803501,78.86,78.8,78.74
2016-04-12 10:49:44.950987,78.86,78.8,78.74
2016-04-12 10:49:45.100549,78.86,78.8,78.74
2016-04-12 10:49:45.251439,78.86,78.8,78.74
2016-04-12 10:49:45.411368,78.86,78.8,78.74
2016-04-12 10:49:45.560416,78.86,78.8,78.74
2016-04-12 10:49:45.709791,78.86,78.8,78.74
2016-04-12 10:49:45.864722,78.86,78.8,78.74
2016-04-12 10:49:46.019912,78.86,78.8,78.74
2016-04-12 10:49:46.171961,78.86,78.8,78.74
2016-04-12 10:49:46.320513,78.86,78.8,78.74
2016-04-12 10:49:46.474524,78.86,78.8,78.74
2016-04-12 10:49:46.626428,78.86,78.8,78.74
2016-04-12 10:49:46.774847,78.86,78.8,78.74
2016-04-12 10:49:46.929518,78.86,78.8,78.74
2016-04-12 10:49:47.076309,78.86,78.8,78.74
2016-04-12 10:49:47.225796,78.86,78.8,78.74
2016-04-12 10:49:47.374909,78.86,78.8,78.74
2016-04-12 10:49:47.521598,78.86,78.8,78.74
2016-04-12 10:49:47.669820,78.86,78.8,78.74
2016-04-12 10:49:47.818752,78.86,78.8,78.74
2016-04-12 10:49:47.968137,78.86,78.8,78.74
2016-04-12 10:49:48.120206,78.86,78.8,78.74
2016-04-12 10:49:48.270365,78.86,78.8,78.74
2016-04-12 10:49:48.429381,78.86,78.8,78.74
2016-04-12 10:49:48.579249,78.86,78.8,78.74
2016-04-12 10:49:48.733572,78.86,78.8,78.74
2016-04-12 10:49:48.887740,78.86,78.8,78.74
2016-04-12 10:49:49.053960,78.86,78.8,78.74
2016-04-12 10:49:49.222384,78.86,78.8,78.74
2016-04-12 10:49:49.388662,78.86,78.8,78.74
2016-04-12 10:49:49.552905,78.86,78.8,78.74
2016-04-12 10:49:49.707965,78.86,78.8,78.74
2016-04-12 10:49:49.852340,78.86,78.8,78.74
2016-04-12 10:49:49.998967,78.86,78.8,78.74
2016-04-12 10:49:50.173034,78.86,78.8,78.74
2016-04-12 10:49:50.331663,78.86,78.8,78.74
2016-04-12 10:49:50.478519,78.86,78.8,78.74
2016-04-12 10:49:50.639162,78.86,78.8,78.74
2016-04-12 10:49:50.796208,78.86,78.8,78.74
2016-04-12 10:49:50.947205,78.86,78.8,78.74
2016-04-12 10:49:51.099136,78.86,78.8,78.74
2016-04-12 10:49:51.250476,78.86,78.8,78.74
2016-04-12 10:49:51.406494,78.86,78.8,78.74
2016-04-12 10:49:51.561637,78.86,78.8,78.74
2016-04-12 10:49:51.709780,78.86,78.8,78.74
2016-04-12 10:49:51.860329,78.86,78.8,78.74
2016-04-12 10:49:52.010980,78.86,78.8,78.74
2016-04-12 10:49:52.162242,78.86,78.8,78.74
2016-04-12 10:49:52.328975,78.86,78.8,78.74
2016-04-12 10:49:52.483564,78.86,78.8,78.74
2016-04-12 10:49:52.666422,78.86,78.8,78.74
2016-04-12 10:49:52.816182,78.86,78.8,78.74
2016-04-12 10:49:52.964088,78.86,78.8,78.74
2016-04-12 10:49:53.110956,78.86,78.8,78.74
2016-04-12 10:49:53.253701,78.86,78.8,78.74
2016-04-12 10:49:53.402062,78.86,78.8,78.74
2016-04-12 10:49:53.556081,78.86,78.8,78.74
2016-04-12 10:49:53.704040,78.86,78.8,78.74
2016-04-12 10:49:53.860387,78.86,78.8,78.74
2016-04-12 10:49:54.019400,78.86,78.8,78.74
2016-04-12 10:49:54.168559,78.86,78.8,78.74
2016-04-12 10:49:54.328195,78.86,78.8,78.74
2016-04-12 10:49:54.482310,78.86,78.8,78.74
2016-04-12 10:49:54.636268,78.86,78.8,78.74
2016-04-12 10:49:54.782174,78.86,78.8,78.74
2016-04-12 10:49:54.929417,78.86,78.8,78.74
2016-04-12 10:49:55.081682,78.86,78.8,78.74
2016-04-12 10:49:55.231480,78.86,78.8,78.74
2016-04-12 10:49:55.379371,78.86,78.8,78.74
