time,price,bid,ask
2016-04-12 12:34:35.755889,246.72,247.0,246.77
2016-04-12 12:34:35.928777,246.72,247.0,246.77
2016-04-12 12:34:36.088189,246.72,247.0,246.77
2016-04-12 12:34:36.243172,246.72,247.0,246.77
2016-04-12 12:34:36.399418,246.72,247.0,246.77
2016-04-12 12:34:36.551596,246.72,247.0,246.77
2016-04-12 12:34:36.876604,246.72,247.0,246.77
2016-04-12 12:34:37.031186,246.72,247.0,246.77
2016-04-12 12:34:37.182155,246.72,247.0,246.77
2016-04-12 12:34:37.345818,246.72,247.0,246.77
2016-04-12 12:34:37.514422,246.72,247.0,246.77
2016-04-12 12:34:37.677885,246.72,247.0,246.77
2016-04-12 12:34:37.832806,246.72,247.0,246.77
2016-04-12 12:34:38.014411,246.72,247.0,246.77
2016-04-12 12:34:38.173209,246.72,247.0,246.77
2016-04-12 12:34:38.335769,246.72,247.0,246.77
2016-04-12 12:34:38.504406,246.72,247.0,246.77
2016-04-12 12:34:38.676986,246.72,247.0,246.77
2016-04-12 12:34:38.830533,246.72,247.0,246.77
2016-04-12 12:34:38.986546,246.72,247.0,246.77
2016-04-12 12:34:39.133950,246.72,247.0,246.77
2016-04-12 12:34:39.291106,246.72,247.0,246.77
2016-04-12 12:34:39.828731,246.72,247.0,246.77
2016-04-12 12:34:39.999090,246.72,247.0,246.77
2016-04-12 12:34:40.162957,246.72,247.0,246.77
2016-04-12 12:34:40.342633,246.72,247.0,246.77
2016-04-12 12:34:40.500411,246.72,246.82,246.6
2016-04-12 12:34:40.676312,246.72,246.82,246.6
2016-04-12 12:34:40.833376,246.72,246.82,246.6
2016-04-12 12:34:40.991824,246.72,246.82,246.6
2016-04-12 12:34:41.150296,246.72,246.82,246.6
2016-04-12 12:34:41.318684,246.72,246.82,246.6
2016-04-12 12:34:41.472571,246.72,246.82,246.6
2016-04-12 12:34:41.626083,246.72,246.82,246.6
2016-04-12 12:34:41.783128,246.72,246.82,246.6
2016-04-12 12:34:41.946330,246.72,246.82,246.6
2016-04-12 12:34:42.104913,246.72,246.82,246.6
2016-04-12 12:34:42.271029,246.72,246.82,246.6
2016-04-12 12:34:42.426312,246.71,246.82,246.6
2016-04-12 12:34:42.585752,246.71,246.82,246.6
2016-04-12 12:34:42.744935,246.71,246.82,246.6
2016-04-12 12:34:42.913740,246.71,246.82,246.6
2016-04-12 12:34:43.072174,246.71,246.82,246.6
2016-04-12 12:34:43.251138,246.71,246.82,246.6
2016-04-12 12:34:43.397470,246.71,246.82,246.6
2016-04-12 12:34:43.559184,246.71,246.82,246.6
2016-04-12 12:34:43.742537,246.71,246.82,246.6
2016-04-12 12:34:43.901572,246.71,246.82,246.6
