time,price,bid,ask
2016-04-11 10:05:26.525106,84.12,83.98,83.97
2016-04-11 10:05:27.420559,84.12,83.98,83.97
2016-04-11 10:05:28.108127,84.12,83.98,83.97
2016-04-11 10:05:28.963582,84.12,83.99,83.98
2016-04-11 10:05:29.886365,84.12,83.99,83.98
2016-04-11 10:05:30.734453,84.13,83.99,83.98
2016-04-11 10:05:31.410964,84.13,83.99,83.98
2016-04-11 10:05:32.333656,84.13,83.99,83.98
2016-04-11 10:05:33.255756,84.13,83.99,83.98
2016-04-11 10:05:34.182995,84.15,83.99,83.98
2016-04-11 10:05:34.876368,84.15,83.99,83.98
2016-04-11 10:05:35.560561,84.15,83.99,83.98
2016-04-11 10:05:36.241404,84.15,83.99,83.98
2016-04-11 10:05:37.150521,84.15,83.99,83.98
2016-04-11 10:05:37.866047,84.15,83.99,83.98
2016-04-11 10:05:38.572237,84.15,83.99,83.98
2016-04-11 10:05:39.326585,84.15,83.99,83.98
2016-04-11 10:05:40.020170,84.15,83.99,83.98
2016-04-11 10:05:40.935349,84.15,83.99,83.98
2016-04-11 10:05:41.325163,84.15,83.99,83.98
2016-04-11 10:05:41.713165,84.15,83.99,83.98
2016-04-11 10:05:42.558602,84.15,83.99,83.98
2016-04-11 10:05:43.695005,84.15,83.99,83.98
2016-04-11 10:05:44.875117,84.15,83.99,83.98
2016-04-11 10:05:46.027036,84.15,83.99,83.98
2016-04-11 10:05:47.004485,84.13,83.99,83.98
2016-04-11 10:05:48.328219,84.13,83.99,83.98
2016-04-11 10:05:49.506268,84.13,83.99,83.98
2016-04-11 10:05:50.626419,84.13,83.99,83.98
2016-04-11 10:05:51.670929,84.13,83.99,83.98
2016-04-11 10:05:52.847019,84.13,83.99,83.98
2016-04-11 10:05:53.683753,84.13,83.99,83.98
2016-04-11 10:05:54.076088,84.13,83.99,83.98
2016-04-11 10:05:54.473144,84.13,83.99,83.98
2016-04-11 10:05:55.277693,84.13,83.99,83.98
2016-04-11 10:05:55.678564,84.13,83.99,83.98
2016-04-11 10:05:56.103661,84.13,83.99,83.98
2016-04-11 10:05:56.489382,84.13,83.99,83.98
2016-04-11 10:05:56.886518,84.13,83.99,83.98
2016-04-11 10:05:57.295190,84.13,83.99,83.98
2016-04-11 10:05:57.693067,84.13,83.99,83.98
2016-04-11 10:05:58.079630,84.13,83.99,83.98
2016-04-11 10:05:58.478603,84.13,83.99,83.98
